filename,freq1_hz,note1,freq2_hz,note2,freq3_hz,note3
oboe-bassoon.wav,440.98,A4,440.454,A4,440.998,A4
cello.wav,233.35,A#3,233.367,A#3,233.333,A#3
gtr-jazz.wav,494.712,B4,494.694,B4,494.73,B4
pno-cs.wav,659.138,E5,659.12,E5,659.193,E5
slideflute.wav,440.98,A4,440.998,A4,440.454,A4
gtr-nylon22.wav,116.675,A#2,116.683,A#2,116.667,A#2
JazzTrio.wav,466.75,A#4,466.767,A#4,466.733,A#4
violin.wav,495.383,B4,495.4,B4,495.367,B4
gongs.wav,123.828,B2,123.846,B2,123.81,B2
shakuhachi.wav,586.104,D5,586.213,D5,778.304,G5
